[2022-09-02 20:50:57 : INFO] - Task with ID 540 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Screenshot-2022-08-26-at-1.53.09-PM.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 541, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 541 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Screenshot-2022-08-26-at-1.58.50-PM.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 542, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 542 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Screenshot-2022-08-26-at-2.04.58-PM.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 543, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 543 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/TG-Logo-W-01-scaled.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 657, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 657 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/B-4.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 656, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 656 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/B-5.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 655, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 655 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/01.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 654, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 654 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/2-2.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 653, and type 'smush' 
[2022-09-02 20:50:57 : INFO] - Task with ID 653 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/02.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:57 : INFO] - Processing task with ID : 652, and type 'smush' 
